playerid,sport,position,start_year,start_age,years_played,retire_year,retire_age
Konstantin Koltsov\koltsko01,NHL,LW,2006,24,1,2006,24
Pete Verhoeven,NBA,F,1982,19,6,1987,24
Lars Hansen,NBA,C,1979,37,1,1979,37
fukudko01,mlb,G_of,2008,31,5,2012,35
spurlch01,mlb,G_p,2003,26,5,2007,30
koshajo01,mlb,G_if,2007,25,2,2008,26
guzmaju01,mlb,G_p,1991,25,9,2000,34
cunnawi01,mlb,G_p,1997,23,8,2004,30
William Carrier\carriwi01,NHL,LW,2017,22,1,2017,22
Drew Gooden,NBA,F,2003,41,14,2016,54
Christian Eyenga,NBA,F,2011,25,2,2012,26
Roman Hamrlik\hamrlro01,NHL,D,2006,31,8,2013,38
Keith Yandle\yandlke01,NHL,D,2007,20,11,2017,30
loonebr01,mlb,G_p,1993,24,2,1995,26
Patrick Thoresen\thorepa01,NHL,LW,2007,23,2,2009,24
axforjo01,mlb,G_p,2009,26,10,2018,35
diazju02,mlb,G_if,2012,24,1,2012,24
cingrto01,mlb,G_p,2012,23,7,2018,29
borkoda01,mlb,G_p,1999,22,10,2008,31
Tom Tumulty,NFL,LB,1999,26,10,2008,35
Andy Sutton\suttoan01,NHL,D,2006,30,7,2012,36
rodrife02,mlb,G_p,2009,25,8,2016,32
ligteke01,mlb,G_p,1997,26,8,2005,34
dykstal01,mlb,G_if,2015,28,1,2015,28
agbaybe01,mlb,G_of,1998,27,5,2002,31
Latario Rachal,NFL,WR,2008,35,5,2012,39
Terrelle Pryor,NFL,QB,1997,8,14,2010,21
Pierre-Edouard Bellemare\bellepi01,NHL,LW,2015,29,3,2017,31
carrice01,mlb,G_p,2009,25,1,2009,25
Harry Zolnierczyk\zolniha01,NHL,LW,2012,24,6,2017,29
smithbu02,mlb,G_p,2001,22,2,2002,23
hackmlu01,mlb,G_p,1999,25,5,2003,29
Scott Lehman\lehmasc01,NHL,D,2009,23,1,2009,23
labouja01,mlb,G_p,2017,23,1,2017,23
tagucso01,mlb,G_of,2002,33,8,2009,40
linch01,mlb,G_of,2012,24,1,2012,24
Chris Minard\minarch01,NHL,LW,2008,26,3,2010,28
rodriyo01,mlb,G_of,2014,22,1,2014,22
martijo07,mlb,G_p,2009,26,5,2013,30
biddlro01,mlb,G_p,2000,24,5,2004,28
Tony Bua,NFL,LB,2004,24,1,2004,24
Kevin Jefferson,NFL,LB,1983,9,15,1997,23
Napoleon Harris,NFL,LB,2006,27,8,2013,34
Pavol Demitra\demitpa01,NHL,C,2006,31,5,2010,35
tuiasma01,mlb,G_if,2008,22,8,2016,30
Jason Glenn,NFL,LB,2000,21,7,2006,27
Dane Sanzenbacher,NFL,WR,2009,21,5,2013,25
Justin Reed,NBA,F,2005,54,3,2007,56
paytoja01,mlb,G_of,1998,26,13,2010,38
Tony Horne,NFL,WR,1984,8,16,1999,23
Joonas Donskoi\donskjo01,NHL,RW,2016,23,2,2017,24
esposbr01,mlb,G_c,2007,28,4,2010,31
davisto03,mlb,G_c,1999,26,1,1999,26
casteal01,mlb,G_of,2012,26,2,2013,27
Ben Smith\smithbe01,NHL,RW,2011,22,7,2017,28
Serge Ibaka,NBA,multi,2010,13,9,2018,21
Alexander Edler\edleral01,NHL,D,2007,20,11,2017,30
Jeff Tambellini\tambeje01,NHL,LW,2006,21,6,2011,26
Tommy Kearns,NBA,G,1959,35,1,1959,35
bergmja01,mlb,G_p,2005,24,5,2010,29
jordata01,mlb,G_p,2013,24,3,2015,26
Matt Guokas,NBA,multi,1967,20,10,1976,29
Britton Johnsen,NBA,F,2004,21,2,2005,22
Lindsay Hairston,NBA,multi,1976,31,1,1976,31
roachja01,mlb,G_p,2003,27,1,2003,27
Pat Batteaux,NFL,WR,2011,33,2,2012,34
gonzami04,mlb,G_c,2013,23,1,2013,23
chiselo01,mlb,G_if,2011,23,8,2018,30
patteja01,mlb,G_if,2001,28,3,2003,30
encarma01,mlb,G_of,2001,26,1,2002,27
Saku Koivu\koivusa01,NHL,C,2006,31,9,2014,39
Walker Russell,NBA,G,2012,52,1,2012,52
bolicfr01,mlb,G_if,1993,27,6,1998,32
weberne01,mlb,G_p,1998,26,1,1998,26
heintch01,mlb,G_c,2005,31,3,2007,33
Jeff Hamilton\hamilje01,NHL,C,2006,28,4,2009,31
Larry Owens,NBA,F,2011,34,2,2012,35
nunezab01,mlb,G_if,1997,21,11,2008,32
Steve Wagner\wagnest01,NHL,D,2008,23,2,2009,24
padilvi01,mlb,G_p,1999,22,14,2012,35
rogered01,mlb,G_if,2002,24,4,2006,28
Nate Wolters,NBA,G,2014,27,5,2018,31
Dwight King\kingdw01,NHL,LW,2011,21,7,2017,27
eppleco01,mlb,G_p,2011,26,2,2013,28
Wesly Mallard,NFL,LB,1992,14,8,1999,21
Pete Cross,NBA,multi,1971,17,3,1973,19
repkoja01,mlb,G_of,2005,25,8,2012,32
kubinti01,mlb,G_p,1997,25,3,1999,27
hathahi01,mlb,G_p,1992,23,2,1993,24
aybarer01,mlb,G_if,2006,22,12,2017,33
merriry01,mlb,G_p,2016,24,2,2017,25
hamiljo02,mlb,G_p,1994,24,10,2003,33
Mike Zigomanis\zigommi01,NHL,C,2006,25,6,2011,30
Jonas Jerebko,NBA,F,2010,21,9,2018,29
cruzlu01,mlb,G_if,2008,24,5,2013,29
szumija01,mlb,G_p,2004,26,1,2004,26
parmech01,mlb,G_if,2011,23,5,2016,28
Kendrick Perkins,NBA,C,2004,40,13,2016,52
harmabr01,mlb,G_if,2008,23,1,2008,23
Joel Kramer,NBA,multi,1979,52,5,1983,56
Michael McCarron\mccarmi01,NHL,RW,2016,20,2,2017,21
faltest01,mlb,G_p,1997,25,2,1999,27
bayja01,mlb,G_of,2003,25,11,2013,35
sagmoma01,mlb,G_of,1997,26,1,1997,26
rojasme01,mlb,G_p,1990,24,9,1999,33
crottmi01,mlb,G_p,2011,27,1,2011,27
Nate Guenin\guenina01,NHL,D,2007,24,10,2016,33
riggaje01,mlb,G_p,2000,26,3,2003,29
Eddie Williams,NFL,RB,2012,25,2,2013,26
velanjo01,mlb,G_if,1997,22,12,2008,33
irabuhi01,mlb,G_p,1997,28,6,2002,33
mattike01,mlb,G_of,2012,27,1,2012,27
Matt Hendricks\hendrma01,NHL,C,2009,27,9,2017,35
Jason Collins,NBA,C,2002,15,13,2014,27
benoijo01,mlb,G_p,2001,24,17,2017,40
martish01,mlb,G_p,2008,21,6,2013,26
hurstjo01,mlb,G_p,1992,26,2,1994,28
Jared Jeffries,NBA,F,2003,20,11,2013,30
Kevin Lockett,NFL,WR,2013,39,1,2013,39
Travis Hamonic\hamontr01,NHL,D,2011,20,7,2017,26
Scot Pollard,NBA,C,1998,23,11,2008,33
owensru01,mlb,G_p,2014,27,0,2014,27
Jordan Schmaltz\schmajo01,NHL,D,2017,23,1,2017,23
corpoca01,mlb,G_c,2009,25,7,2015,31
Tomas Nosek\nosekto01,NHL,C,2016,23,2,2017,24
levinal01,mlb,G_p,1996,28,9,2005,37
sanchro01,mlb,G_p,2007,23,4,2010,26
Maksim Mayorov\mayorma01,NHL,LW,2009,19,4,2012,22
David Lee,NBA,F,1968,45,2,1969,46
Alexandre Daigle\daiglal02,NHL,RW,2006,30,1,2006,30
brewija01,mlb,G_p,1995,24,6,2000,29
Sonny Milano\milanso01,NHL,LW,2016,19,2,2017,20
Scott Glennie\glennsc01,NHL,RW,2012,20,1,2012,20
Mason Raymond\raymoma01,NHL,LW,2008,22,10,2017,31
woodbr01,mlb,G_if,2007,22,5,2011,26
weathda01,mlb,G_p,1991,22,19,2009,40
Adam Pelech\pelecad01,NHL,D,2016,21,2,2017,22
Dennis Boyd,NBA,G,1979,27,1,1979,27
Jeremy Welsh\welshje01,NHL,C,2012,23,5,2016,27
parkeja02,mlb,G_p,2011,23,3,2013,25
Spencer Hawes,NBA,multi,2008,25,10,2017,34
garcija03,mlb,G_p,2015,23,1,2015,23
Lanard Copeland,NBA,G,1990,34,3,1992,36
Damon Severson\severda01,NHL,D,2015,20,3,2017,22
Lennart Petrell\petrele01,NHL,C,2012,27,2,2013,28
mateoju01,mlb,G_p,2002,25,5,2007,30
Zach Sill\sillza01,NHL,C,2014,25,3,2016,27
Douglas Murray\murrado01,NHL,D,2006,25,9,2014,33
George Tinsley,NBA,F,1970,22,3,1972,24
Shandon Anderson,NBA,multi,1997,30,10,2006,39
arochre01,mlb,G_p,1993,29,5,1997,33
Jawad Williams,NBA,F,2009,23,3,2011,25
Renaud Williams,NFL,LB,2012,31,2,2013,32
greenta01,mlb,G_if,2011,25,2,2012,26
kellyke01,mlb,G_p,2000,21,6,2005,26
Naufahu Tahi,NFL,RB,2007,26,4,2010,29
wasdijo01,mlb,G_p,1995,23,12,2007,35
tavarje01,mlb,G_of,1994,23,5,1998,27
sextoch01,mlb,G_if,1999,28,2,2000,29
P.K. Sam,NFL,WR,2004,21,1,2004,21
Peter Mueller\muellpe01,NHL,C,2008,19,6,2013,24
Corban Knight\knighco01,NHL,C,2014,23,3,2016,25
wilsocr02,mlb,G_if,1998,28,3,2000,30
Sam Mitchell,NBA,F,1990,33,13,2002,45
selfto01,mlb,G_of,2005,27,1,2005,27
victosh01,mlb,G_of,2003,23,13,2015,35
Greg Monroe,NBA,multi,2011,46,8,2018,53
Craig Smith\smithcr01,NHL,C,2012,22,6,2017,27
Miroslav Raduljica,NBA,C,2014,52,2,2015,53
meyerbe02,mlb,G_p,2018,25,1,2018,25
stowech01,mlb,G_of,1999,25,1,1999,25
Michael Matheson\mathemi01,NHL,D,2016,21,2,2017,22
Joseph Labate\labatjo01,NHL,C,2017,23,1,2017,23
mortoco01,mlb,G_p,2007,25,1,2008,26
wisema01,mlb,G_p,2000,25,8,2008,33
Ryan Rau,NFL,LB,2012,22,1,2012,22
valbulu01,mlb,G_if,2008,23,10,2018,33
powelja04,mlb,G_p,1995,23,10,2005,33
Paul Hazel,NFL,LB,2013,23,1,2013,23
Gary Trent,NBA,F,1996,34,9,2004,42
pridecu01,mlb,G_of,1993,25,14,2006,38
Laurent Dauphin\dauphla01,NHL,C,2016,20,2,2017,21
Kyle Quincey\quincky01,NHL,D,2006,20,12,2017,31
magnami01,mlb,G_p,1991,26,12,2002,37
Jere Lehtinen\lehtije01,NHL,RW,2006,32,5,2010,36
meachru01,mlb,G_p,1991,23,10,2001,33
Cody McLeod\mcleoco01,NHL,LW,2008,23,10,2017,32
Will Conroy,NBA,G,2007,27,7,2013,33
Jarell Martin,NBA,F,2016,36,3,2018,38
knackbr01,mlb,G_p,1990,21,7,1996,27
Alexei Mikhnov\mikhnal01,NHL,LW,2007,24,1,2009,24
Mike Morton,NFL,LB,1996,24,5,2000,28
Markel Brown,NBA,G,2015,46,2,2016,47
Tim Jackman\jackmti01,NHL,RW,2006,24,11,2016,34
davisbr03,mlb,G_c,2010,28,1,2010,28
pompeda01,mlb,G_of,2014,22,4,2018,26
Derek Armstrong\armstde01,NHL,C,2006,32,5,2010,36
michaja01,mlb,G_of,2001,25,11,2011,35
dicksla01,mlb,G_p,1990,21,1,1990,21
dohmasc01,mlb,G_p,2004,26,4,2008,30
Mark McNamara,NBA,multi,1983,12,9,1991,20
elderda01,mlb,G_p,2002,27,1,2003,28
Matt Halischuk\halisma01,NHL,RW,2009,20,8,2016,27
maaske01,mlb,G_if,1990,25,5,1995,30
Ralph Sampson,NBA,multi,1984,33,9,1992,41
Graham Harrell,NFL,QB,2006,21,8,2013,28
Nikita Scherbak\scherni01,NHL,RW,2017,21,1,2017,21
Trent Hunter\huntetr01,NHL,RW,2006,25,7,2012,31
breale01,mlb,G_p,2000,27,1,2001,28
Connor McDavid\mcdavco01,NHL,C,2016,19,2,2017,20
Ilkka Pikkarainen\pikkail01,NHL,RW,2010,28,1,2010,28
butlejo04,mlb,G_of,2013,27,3,2015,29
Mark Streit\streima01,NHL,D,2006,28,12,2017,39
wilsoni01,mlb,G_of,1993,23,4,1996,26
Alvin Scott,NBA,multi,1978,16,8,1985,23
verasda01,mlb,G_p,1996,23,3,1998,25
Spencer Reid,NFL,LB,1985,9,14,1998,22
carides01,mlb,G_p,2009,26,1,2010,27
Kirby Dar Dar,NFL,WR,1995,23,4,1998,26
Dennis Hopson,NBA,multi,1988,21,5,1992,25
Luc Robitaille*\robitlu01,NHL,LW,2006,39,1,2006,39
Richard Anderson,NBA,multi,1983,25,8,1990,32
harripe01,mlb,G_p,1996,24,3,1998,26
durritr01,mlb,G_if,1999,24,7,2005,30
daubabr01,mlb,G_if,1998,26,7,2005,33
Matt Carkner\carknma01,NHL,D,2006,25,9,2014,33
morribr01,mlb,G_p,2012,25,5,2017,30
Nick Drazenovic\drazeni01,NHL,C,2011,24,4,2014,27
Johnny Horan,NBA,F,1956,24,1,1956,24
Greg Lloyd,NFL,LB,2003,14,10,2012,23
Ben Maxwell\maxwebe01,NHL,C,2009,20,4,2012,23
Barney Cable,NBA,F,1959,34,6,1964,39
greggke01,mlb,G_p,2003,25,12,2015,37
Malcolm Miller,NBA,F,2018,47,1,2018,47
tucketj01,mlb,G_p,2000,22,6,2005,27
Brice Hunter,NFL,WR,1996,22,4,1999,25
mashoda01,mlb,G_of,1996,27,3,1998,29
Dick Barnett,NBA,multi,1960,16,15,1974,30
ruizra01,mlb,G_p,2008,31,2,2010,33
Michael Lowery,NFL,LB,1985,11,12,1996,22
ramirhe01,mlb,G_p,1999,28,1,2000,29
castrra02,mlb,G_if,2004,25,1,2004,25
Auston Matthews\matthau01,NHL,C,2017,19,1,2017,19
Kevin Garnett,NBA,multi,1996,37,21,2016,57
Danilo Gallinari,NBA,F,2009,28,10,2018,37
Hedo Turkoglu,NBA,F,2001,38,15,2015,52
perezlu01,mlb,G_p,2011,26,3,2013,28
James White,NBA,multi,2007,13,7,2013,19
Bill Walton,NBA,multi,1975,20,13,1987,32
Derian Hatcher\hatchde01,NHL,D,2006,33,3,2009,35
clappst01,mlb,G_of,2001,28,1,2001,28
waechdo01,mlb,G_p,2003,22,6,2009,28
lopezlu01,mlb,G_if,1990,26,2,1991,27
Ben Obomanu,NFL,WR,2007,24,7,2013,30
Stefan Meyer\meyerst01,NHL,LW,2008,22,4,2011,25
Riney Lochmann,NBA,F,1968,24,3,1970,26
Earl Barron,NBA,C,2006,39,10,2015,48
wardtu01,mlb,G_of,1990,25,11,2001,36
Tray Session,NFL,WR,2007,20,5,2011,24
Taylor Fedun\fedunta01,NHL,D,2014,25,4,2017,28
Chris Summers\summech01,NHL,D,2011,22,6,2016,27
Matt Bullard,NBA,F,1991,35,12,2002,46
Justin Faulk\faulkju01,NHL,D,2012,19,6,2017,24
Mike McGee,NBA,multi,1982,33,9,1990,41
Solomon Alabi,NBA,C,2011,23,2,2012,24
Bill Mayfield,NBA,F,1981,59,1,1981,59
Alexander Mogilny\mogilal01,NHL,RW,2006,36,1,2006,36
kotsama01,mlb,G_of,1997,22,17,2013,38
zawadla01,mlb,G_if,2010,25,1,2010,25
martima02,mlb,G_of,1996,26,4,1999,29
lockhke01,mlb,G_if,1994,30,10,2003,39
Tyler Wotherspoon\wothety01,NHL,D,2014,20,4,2017,23
Brad Lukowich\lukowbr01,NHL,D,2006,29,6,2011,34
