playerid,sport,position,retire_year,retire_age,years_played
Karim Abdul-Jabbar,NFL,RB,2000,26,5
Khalid Abdullah,NFL,LB,2000,21,5
Rabih Abdullah,NFL,RB,2000,25,5
Rahim Abdullah,NFL,LB,2000,24,5
Joseph Addai,NFL,RB,2013,30,1
Xavier Adibi,NFL,LB,2012,28,5
Daniel Adongo,NFL,LB,2013,24,1
Kamar Aiken,NFL,WR,2013,24,3
Sam Aiken,NFL,WR,2013,33,3
Victor Aiyewa,NFL,LB,2013,26,1
Seyi Ajirotutu,NFL,WR,2013,26,4
Hakim Akbar,NFL,LB,2002,22,2
Arnold Ale,NFL,LB,1996,26,3
Ink Aleaga,NFL,LB,1996,23,3
Dan Alexander,NFL,RB,1996,18,3
Derrick Alexander,NFL,WR,1996,25,3
Elijah Alexander,NFL,LB,1996,26,3
Kevin Alexander,NFL,WR,1996,21,3
Patrise Alexander,NFL,LB,1996,24,3
Shaun Alexander,NFL,RB,1996,19,3
Charles Ali,NFL,RB,2008,24,2
Jon Alston,NFL,LB,2009,26,4
Richard Alston,NFL,WR,2009,29,4
Mike Alstott,NFL,RB,2009,36,4
Prince Amukamara,NFL,CB,2013,24,3
Emmanuel Arceneaux,NFL,WR,2011,24,1
Brandon Archer,NFL,LB,2011,28,1
Mike Archie,NFL,RB,2011,39,1
Justin Armour,NFL,WR,2002,29,4
Jessie Armstead,NFL,LB,2002,32,4
Anthony Armstrong,NFL,WR,2002,19,4
Antonio Armstrong,NFL,LB,2002,29,4
Derick Armstrong,NFL,WR,2002,23,4
Devin Aromashodu,NFL,WR,2012,28,6
Adrian Arrington,NFL,WR,2012,27,3
J.J. Arrington,NFL,RB,2012,29,3
LaVar Arrington,NFL,LB,2012,34,3
K.C. Asiodu,NFL,LB,2010,24,1
Joe Aska,NFL,RB,1997,25,3
David Ausberry,NFL,WR,2013,26,3
Miles Austin,NFL,WR,2013,29,3
Tavon Austin,NFL,WR,2013,22,3
Terrence Austin,NFL,WR,2013,25,3
Jason Avant,NFL,WR,2013,30,8
Brendon Ayanbadejo,NFL,LB,2012,36,10
Obafemi Ayanbadejo,NFL,RB,2012,37,10
Akeem Ayers,NFL,LB,2013,24,3
Kole Ayi,NFL,LB,2002,24,2
Akin Ayodele,NFL,LB,2010,31,9
Remi Ayodele,NFL,LB,2010,27,9
Aaron Bailey,NFL,WR,1998,27,5
Boss Bailey,NFL,LB,1998,19,5
Henry Bailey,NFL,WR,1998,25,5
Karsten Bailey,NFL,WR,1998,21,5
Thomas Bailey,NFL,WR,1998,27,5
Victor Bailey,NFL,WR,1998,28,5
Myron Baker,NFL,LB,1990,19,13
Shannon Baker,NFL,WR,1990,19,13
Brett Basanez,NFL,QB,2006,23,1
Hank Baskett,NFL,WR,2006,24,1
Michael Basnight,NFL,RB,2006,29,1
Robert Bass,NFL,LB,2006,36,1
Baron Batch,NFL,RB,2012,25,2
Charlie Batch,NFL,QB,2012,38,2
D'Wayne Bates,NFL,WR,2012,37,2
Daren Bates,NFL,LB,2012,22,2
Mario Bates,NFL,RB,2012,39,2
Phil Bates,NFL,WR,2012,23,2
Solomon Bates,NFL,LB,2012,30,2
Pat Batteaux,NFL,WR,2012,34,2
Danny Batten,NFL,LB,2012,25,2
Arnaz Battle,NFL,WR,2012,32,2
Jackie Battle,NFL,RB,2012,29,2
Brett Bech,NFL,WR,1999,28,3
John Beck,NFL,QB,1999,18,3
Marcus Benard,NFL,LB,2013,28,5
Carey Bender,NFL,RB,2013,41,5
Wes Bender,NFL,RB,2013,43,5
Tim Benford,NFL,WR,2013,24,5
Ryan Benjamin,NFL,RB,2013,43,5
Travis Benjamin,NFL,WR,2013,24,5
Arrelious Benn,NFL,WR,2013,25,5
Brandon Bennett,NFL,RB,2013,40,5
Charles Bennett,NFL,LB,2013,30,5
Donnell Bennett,NFL,RB,2013,41,5
Drew Bennett,NFL,WR,2013,35,5
Earl Bennett,NFL,WR,2013,26,5
Michael Bennett,NFL,RB,2013,35,5
Sean Bennett,NFL,RB,2013,38,5
