playerID,sport,position,start_year,start_age,years_played
Karim Abdul-Jabbar,NFL,4,1996,22,5
Khalid Abdullah,NFL,3,1996,17,5
Rabih Abdullah,NFL,4,1996,21,5
Rahim Abdullah,NFL,3,1996,20,5
Joseph Addai,NFL,4,2013,30,1
Xavier Adibi,NFL,3,2008,24,5
Daniel Adongo,NFL,3,2013,24,1
Kamar Aiken,NFL,2,2011,22,3
Sam Aiken,NFL,2,2011,31,3
Victor Aiyewa,NFL,3,2013,26,1
Seyi Ajirotutu,NFL,2,2010,23,4
Hakim Akbar,NFL,3,2001,21,2
Arnold Ale,NFL,3,1994,24,3
Ink Aleaga,NFL,3,1994,21,3
Dan Alexander,NFL,4,1994,16,3
Derrick Alexander,NFL,2,1994,23,3
Elijah Alexander,NFL,3,1994,24,3
Kevin Alexander,NFL,2,1994,19,3
Patrise Alexander,NFL,3,1994,22,3
Shaun Alexander,NFL,4,1994,17,3
Charles Ali,NFL,4,2007,23,2
Jon Alston,NFL,3,2006,23,4
Richard Alston,NFL,2,2006,26,4
Mike Alstott,NFL,4,2006,33,4
Prince Amukamara,NFL,4,2011,22,3
Emmanuel Arceneaux,NFL,2,2011,24,1
Brandon Archer,NFL,3,2011,28,1
Mike Archie,NFL,4,2011,39,1
Justin Armour,NFL,2,1999,26,4
Jessie Armstead,NFL,3,1999,29,4
Anthony Armstrong,NFL,2,1999,16,4
Antonio Armstrong,NFL,3,1999,26,4
Derick Armstrong,NFL,2,1999,20,4
Devin Aromashodu,NFL,2,2007,23,6
Adrian Arrington,NFL,2,2010,25,3
J.J. Arrington,NFL,4,2010,27,3
LaVar Arrington,NFL,3,2010,32,3
K.C. Asiodu,NFL,3,2010,24,1
Joe Aska,NFL,4,1995,23,3
David Ausberry,NFL,2,2011,24,3
Miles Austin,NFL,2,2011,27,3
Tavon Austin,NFL,2,2011,20,3
Terrence Austin,NFL,2,2011,23,3
Jason Avant,NFL,2,2006,23,8
Brendon Ayanbadejo,NFL,3,2003,27,10
Obafemi Ayanbadejo,NFL,4,2003,28,10
Akeem Ayers,NFL,3,2011,22,3
Kole Ayi,NFL,3,2001,23,2
Akin Ayodele,NFL,3,2002,23,9
Remi Ayodele,NFL,3,2002,19,9
Aaron Bailey,NFL,2,1994,23,5
Boss Bailey,NFL,3,1994,15,5
Henry Bailey,NFL,2,1994,21,5
Karsten Bailey,NFL,2,1994,17,5
Thomas Bailey,NFL,2,1994,23,5
Victor Bailey,NFL,2,1994,24,5
Myron Baker,NFL,3,1978,7,13
Shannon Baker,NFL,2,1978,7,13
Brett Basanez,NFL,1,2006,23,1
Hank Baskett,NFL,2,2006,24,1
Michael Basnight,NFL,4,2006,29,1
Robert Bass,NFL,3,2006,36,1
Baron Batch,NFL,4,2011,24,2
Charlie Batch,NFL,1,2011,37,2
D'Wayne Bates,NFL,2,2011,36,2
Daren Bates,NFL,3,2011,21,2
Mario Bates,NFL,4,2011,38,2
Phil Bates,NFL,2,2011,22,2
Solomon Bates,NFL,3,2011,29,2
Pat Batteaux,NFL,2,2011,33,2
Danny Batten,NFL,3,2011,24,2
Arnaz Battle,NFL,2,2011,31,2
Jackie Battle,NFL,4,2011,28,2
Brett Bech,NFL,2,1997,26,3
John Beck,NFL,1,1997,16,3
Marcus Benard,NFL,3,2009,24,5
Carey Bender,NFL,4,2009,37,5
Wes Bender,NFL,4,2009,39,5
Tim Benford,NFL,2,2009,20,5
Ryan Benjamin,NFL,4,2009,39,5
Travis Benjamin,NFL,2,2009,20,5
Arrelious Benn,NFL,2,2009,21,5
Brandon Bennett,NFL,4,2009,36,5
Charles Bennett,NFL,3,2009,26,5
Donnell Bennett,NFL,4,2009,37,5
Drew Bennett,NFL,2,2009,31,5
Earl Bennett,NFL,2,2009,22,5
Michael Bennett,NFL,4,2009,31,5
Sean Bennett,NFL,4,2009,34,5
Cedric Benson,NFL,4,2009,27,5
Bill Bentley,NFL,4,2009,20,5
Kevin Bentley,NFL,3,2009,30,5
Justin Bethel,NFL,4,2006,16,8
McLeod Bethel-Thompson,NFL,1,2006,18,8
Jerome Bettis,NFL,4,2006,34,8
Ladell Betts,NFL,4,2006,27,8
Tim Biakabutuka,NFL,4,1996,22,6
Erik Bickerstaff,NFL,4,2003,23,1
Taye Biddle,NFL,2,2006,23,1
Armon Binns,NFL,2,2011,22,2
Bront Bird,NFL,3,2011,22,3
Avion Black,NFL,2,2011,34,3
Conroy Black,NFL,4,2011,23,3
Nathan Black,NFL,2,2011,33,3
Quincy Black,NFL,3,2011,27,3
Chase Blackburn,NFL,3,2011,28,3
Justin Blackmon,NFL,2,2011,21,3
Darryl Blackstock,NFL,3,2011,28,3
Will Blackwell,NFL,2,2011,36,3
H.B. Blades,NFL,3,2011,27,3
Michael Blair,NFL,4,2011,37,3
Antwon Blake,NFL,4,2011,21,3
Jeff Blake,NFL,1,2011,41,3
Matt Blanchard,NFL,1,2011,22,3
Tony Bland,NFL,2,2011,39,3
Robert Blanton,NFL,4,2011,22,3
Derrick Blaylock,NFL,4,2011,32,3
Eric Blount,NFL,2,1997,27,3
Shaun Bodiford,NFL,2,2003,21,9
Dontavia Bogan,NFL,2,2011,23,1
Rocky Boiman,NFL,3,2002,22,8
Lorenzo Booker,NFL,4,2005,21,1
Marty Booker,NFL,2,2005,29,1
Tommie Boyd,NFL,2,1981,10,9
Brant Boyer,NFL,3,1981,10,9
Steve Breaston,NFL,2,2007,24,6
Drew Brees,NFL,1,2007,28,6
Dewell Brewer,NFL,4,2007,37,6
Tony Bua,NFL,3,2004,24,1
Marc Bulger,NFL,1,2010,33,4
Courtland Bullard,NFL,3,2010,32,4
Kendricke Bullard,NFL,2,2010,38,4
Keith Bulluck,NFL,3,2010,33,4
Hillary Butler,NFL,3,1986,15,11
Butler By'not'e,NFL,4,1994,22,2
Kenny Bynum,NFL,4,1984,10,14
Greg Camarillo,NFL,2,2006,24,7
Jason Campbell,NFL,1,2006,25,7
Kelly Campbell,NFL,2,2006,26,7
Khary Campbell,NFL,3,2006,27,7
Michael Campbell,NFL,2,2006,17,7
Alan Campos,NFL,3,2006,33,7
Jehuu Caulcrick,NFL,4,2010,27,1
Marq Cerqua,NFL,3,2000,23,3
Robert Chancey,NFL,4,1983,11,10
Mike Cherry,NFL,1,2012,39,2
Darrin Chiaverini,NFL,2,1999,22,4
Bam Childress,NFL,2,1999,17,4
O.J. Childress,NFL,3,1999,23,4
Ron Childs,NFL,3,1999,28,4
Brandon Chillar,NFL,3,1999,17,4
Patrick Chukwurah,NFL,3,2001,22,7
Vinny Ciurciu,NFL,3,2003,23,8
Kellen Clemens,NFL,1,2013,30,1
Chuck Clements,NFL,1,2013,40,1
Charlie Clemons,NFL,3,2013,41,1
Chris Clemons,NFL,3,2013,32,1
Toney Clemons,NFL,2,2013,25,1
Mike Cloud,NFL,4,2009,34,3
David Clowney,NFL,2,2009,24,3
Jon Condo,NFL,3,1997,16,8
Steve Conley,NFL,3,1997,25,8
Albert Connell,NFL,2,1997,23,8
Dan Connor,NFL,3,1997,12,8
Curtis Conway,NFL,2,1997,26,8
Andre Cooper,NFL,2,1995,20,5
Rafael Cooper,NFL,4,1995,20,5
Stephen Cooper,NFL,3,1995,16,5
Jerricho Cotchery,NFL,2,1995,13,8
Kenyon Cotton,NFL,4,1995,21,8
Dana Cottrell,NFL,3,1995,21,8
Tim Couch,NFL,1,1999,22,5
Damien Covington,NFL,3,1983,11,8
Ray Crittenden,NFL,2,1989,19,1
Quinton Culberson,NFL,3,2007,22,3
Derrick Cullors,NFL,4,2007,35,3
Daunte Culpepper,NFL,1,2007,30,3
Joe Cummings,NFL,3,2010,36,4
B.J. Cunningham,NFL,2,2002,13,12
Benny Cunningham,NFL,4,2002,12,12
Jermaine Cunningham,NFL,3,2002,14,12
Sederrik Cunningham,NFL,2,2002,13,12
Brian Cushing,NFL,3,2009,22,5
Randy Cuthbert,NFL,4,1993,23,2
Weston Dacus,NFL,3,2003,18,1
Anthony Daigle,NFL,4,1994,24,1
Casey Dailey,NFL,3,1994,19,1
Kirby Dar Dar,NFL,2,1995,23,4
James Darling,NFL,3,1995,21,4
Billy Davis,NFL,2,1992,20,3
Don Davis,NFL,3,1992,20,3
Stephen Davis,NFL,4,1992,18,3
Terrell Davis,NFL,4,1992,20,3
Thabiti Davis,NFL,2,1992,17,3
Troy Davis,NFL,4,1992,17,3
Tyree Davis,NFL,2,1992,22,3
Zola Davis,NFL,2,1992,17,3
Jerone Davison,NFL,4,1992,22,3
Sean Dawkins,NFL,2,1996,25,16
Clifton Dawson,NFL,4,1996,13,16
JaJuan Dawson,NFL,2,1996,19,16
Lake Dawson,NFL,2,1996,24,16
Skye Dawson,NFL,2,1996,6,16
Larry Dean,NFL,3,2010,22,4
Allen J. DeGraffenreid,NFL,2,2010,40,3
Dan DePalma,NFL,2,2011,22,3
Lee DeRamus,NFL,2,1995,23,2
James Develin,NFL,4,2009,21,4
Pat Devlin,NFL,1,2009,21,4
Todd Devoe,NFL,2,2009,29,4
Dahrran Diedrick,NFL,4,2004,25,1
Na'il Diggs,NFL,3,2000,22,12
John DiGiorgio,NFL,3,2000,18,12
Zach Diles,NFL,3,2007,22,7
Trent Dilfer,NFL,1,2007,35,7
Jarett Dillard,NFL,2,2007,22,7
Phillip Dillard,NFL,3,2007,21,7
Corey Dillon,NFL,4,2007,33,7
Jayson DiManche,NFL,3,2013,23,1
Nate Dingle,NFL,3,1999,28,5
Jordon Dizon,NFL,3,2008,22,2
Tandon Doss,NFL,2,2003,14,6
Todd Doxzon,NFL,2,1998,23,1
Chris Draft,NFL,3,1998,22,12
Shaun Draughn,NFL,4,1998,11,12
Reuben Droughns,NFL,4,1992,14,10
Jim Druckenmiller,NFL,1,1997,25,2
Eddie Drummond,NFL,2,1997,17,2
T.J. Duckett,NFL,4,2010,29,4
Troy Dumas,NFL,3,1991,19,10
Justin Durant,NFL,3,2010,25,2
Kris Durham,NFL,2,2010,22,2
Tim Dwight,NFL,2,1998,23,10
Zac Dysert,NFL,1,2013,23,1
Kevin Dyson,NFL,2,2013,38,1
Matt Dyson,NFL,3,2013,41,1
Nate Eachus,NFL,4,2012,22,1
Biren Ealy,NFL,2,2007,23,3
Adimchinobe Echemandu,NFL,4,2004,24,4
Dominique Edison,NFL,2,2000,14,6
Donnie Edwards,NFL,3,1990,17,3
Robert Edwards,NFL,4,1990,16,3
Isaiah Ekejiuba,NFL,3,2005,24,7
Shane Elam,NFL,3,2006,29,7
Jamin Elliott,NFL,2,1983,4,16
'Omar Ellison,NFL,2,1983,12,16
Jerry Ellison,NFL,4,1983,12,16
Bert Emanuel,NFL,2,2005,35,1
Carlos Emmons,NFL,3,1996,23,11
Justin Ena,NFL,3,2002,25,4
Jamar Enzor,NFL,3,2005,24,1
Darius Eubanks,NFL,3,2013,22,1
Liam Ezekiel,NFL,3,2005,23,1
Mario Fannin,NFL,4,2011,24,3
Randy Fasani,NFL,1,2002,24,1
Ciatrick Fason,NFL,4,2002,20,1
Jermaine Fazande,NFL,4,1999,24,2
John Fiala,NFL,3,1998,25,5
Alfred Fincher,NFL,3,1992,9,11
Brian Finneran,NFL,2,1992,16,11
Joe Flacco,NFL,1,2008,23,6
P.J. Fleck,NFL,2,2004,24,1
Cory Fleming,NFL,2,2004,33,1
Troy Fleming,NFL,4,2004,24,1
London Fletcher,NFL,3,2004,29,1
Terrell Fletcher,NFL,4,2004,31,1
DeShawn Fogle,NFL,3,1992,17,3
Moise Fokou,NFL,3,2009,24,5
Glenn Foley,NFL,1,1997,27,8
Steve Foley,NFL,3,1997,22,8
J.D. Folsom,NFL,3,1997,13,8
James Folston,NFL,3,1997,26,8
Carl Ford,NFL,2,2011,31,3
Jacob Ford,NFL,3,2011,28,3
Jacoby Ford,NFL,2,2011,24,3
Michael Ford,NFL,4,2011,21,3
Jay Foreman,NFL,3,2011,35,3
Justin Forsett,NFL,4,2011,26,3
Brock Forsey,NFL,4,2011,31,3
L.J. Fort,NFL,3,2011,21,3
Matt Forte,NFL,4,2011,26,3
Arian Foster,NFL,4,2005,19,6
DeShaun Foster,NFL,4,2005,25,6
Larry Foster,NFL,2,2005,29,6
Mason Foster,NFL,3,2005,16,6
Chris Francies,NFL,2,2013,31,1
Carlos Francis,NFL,2,2013,32,1
Robert Francois,NFL,3,2013,28,1
Jerry Franklin,NFL,3,2013,25,1
Johnathan Franklin,NFL,4,2013,24,1
Keith Franklin,NFL,3,2013,43,1
P.J. Franklin,NFL,2,2013,36,1
Stephen Franklin,NFL,3,2013,25,1
Will Franklin,NFL,2,2013,28,1
