player_ID,sport,position,retire_year,retire_age,years_played
Alaa Abdelnaby,NBA,0,1995,27,5
Zaid Abdul-Aziz,NBA,0,1978,32,10
Kareem Abdul-Jabbar,NBA,1,1989,42,20
Mahmoud Abdul-Rauf,NBA,2,2001,32,11
Tariq Abdul-Wahad,NBA,3,2003,29,6
Shareef Abdur-Rahim,NBA,3,2008,32,12
Tom Abernethy,NBA,3,1981,27,5
Forest Able,NBA,2,1957,25,1
John Abramovic,NBA,3,1948,29,2
Alex Abrines,NBA,0,2018,25,2
Alex Acker,NBA,2,2009,26,4
Don Ackerman,NBA,2,1954,24,1
Mark Acres,NBA,0,1993,31,6
Bud Acton,NBA,3,1968,26,1
Quincy Acy,NBA,3,2018,28,6
Alvan Adams,NBA,0,1988,34,13
Don Adams,NBA,3,1977,30,7
George Adams,NBA,0,1975,26,3
Hassan Adams,NBA,2,2009,25,3
Jordan Adams,NBA,2,2016,22,2
Michael Adams,NBA,2,1996,33,11
Steven Adams,NBA,1,2018,25,5
Rafael Addison,NBA,0,1997,33,11
Bam Adebayo,NBA,0,2018,21,1
Rick Adelman,NBA,2,1975,29,7
Jeff Adrien,NBA,3,2015,29,5
Arron Afflalo,NBA,2,2018,33,11
Maurice Ager,NBA,2,2011,27,5
Mark Aguirre,NBA,0,1994,35,13
Blake Ahearn,NBA,2,2012,28,5
Danny Ainge,NBA,2,1995,36,14
Matthew Aitch,NBA,3,1968,24,1
Alexis Ajinca,NBA,1,2017,29,9
Henry Akin,NBA,0,1969,25,3
Josh Akognon,NBA,2,2013,27,1
Solomon Alabi,NBA,1,2012,24,2
Mark Alarie,NBA,3,1991,28,5
Gary Alcorn,NBA,1,1961,25,2
Furkan Aldemir,NBA,0,2015,24,1
Cole Aldrich,NBA,1,2018,30,8
LaMarcus Aldridge,NBA,0,2018,33,12
Chuck Aleksinas,NBA,1,1985,26,1
Cliff Alexander,NBA,3,2016,21,1
Cory Alexander,NBA,2,2005,32,10
Courtney Alexander,NBA,2,2003,26,3
Gary Alexander,NBA,3,1994,25,1
Joe Alexander,NBA,3,2010,24,2
Victor Alexander,NBA,0,2002,33,11
Steve Alford,NBA,2,1991,27,4
,NBA,,nan,nan,nan
Bob Allen,NBA,3,1969,-29,1
Jarrett Allen,NBA,0,2018,45,1
Jerome Allen,NBA,2,1997,4,2
Kadeem Allen,NBA,2,2018,29,1
Lavoy Allen,NBA,0,2017,70,6
Lucius Allen,NBA,2,1979,1,10
Malik Allen,NBA,0,2011,46,10
Randy Allen,NBA,3,1990,15,2
Ray Allen,NBA,2,2014,32,18
Tony Allen,NBA,0,2018,69,14
Willie Allen,NBA,3,1972,23,1
Odis Allison,NBA,3,1972,-9,1
Lance Allred,NBA,1,2008,50,1
Darrell Allums,NBA,3,1981,-4,1
Morris Almond,NBA,2,2012,40,5
Derrick Alston,NBA,3,1997,21,3
Rafer Alston,NBA,2,2010,37,11
Peter Aluma,NBA,1,1999,29,1
John Amaechi,NBA,0,2003,32,8
Ashraf Amaya,NBA,3,1997,7,2
Al-Farouq Aminu,NBA,3,2018,36,8
Lou Amundson,NBA,3,2016,79,10
Bob Anderegg,NBA,0,1960,-18,1
Chris Andersen,NBA,0,2017,37,16
David Andersen,NBA,1,2011,29,2
Alan Anderson,NBA,0,2017,72,12
Andrew Anderson,NBA,2,1970,-15,3
Antonio Anderson,NBA,2,2010,66,1
Cliff Anderson,NBA,0,1971,28,4
Dan Anderson,NBA,1,1969,18,2
Dan Anderson,NBA,2,1976,2,2
Derek Anderson,NBA,2,2008,48,11
Dwight Anderson,NBA,2,1983,13,1
Eric Anderson,NBA,3,1994,30,2
Greg Anderson,NBA,0,1998,38,11
J.J. Anderson,NBA,3,1985,-4,3
James Anderson,NBA,0,2016,63,6
Jerome Anderson,NBA,2,1977,-16,2
Justin Anderson,NBA,2,2018,48,3
Kenny Anderson,NBA,2,2005,50,14
Kim Anderson,NBA,3,1979,-14,1
Kyle Anderson,NBA,0,2018,52,4
Michael Anderson,NBA,2,1989,21,1
Nick Anderson,NBA,0,2002,42,13
Richard Anderson,NBA,0,1990,32,8
Ron Anderson,NBA,0,1994,6,10
Ryan Anderson,NBA,3,2018,45,10
Shandon Anderson,NBA,0,2006,39,10
Willie Anderson,NBA,0,1997,51,9
Wally Anderzunas,NBA,0,1970,-16,1
Martynas Andriuskevicius,NBA,1,2006,76,1
Don Anielak,NBA,3,1955,-43,1
Ike Anigbogu,NBA,0,2018,51,1
Michael Ansley,NBA,3,1992,17,3
Chris Anstey,NBA,1,2000,6,3
Giannis Antetokounmpo,NBA,0,2018,26,5
Thanasis Antetokounmpo,NBA,3,2016,32,1
Carmelo Anthony,NBA,3,2018,51,15
Greg Anthony,NBA,2,2002,20,11
Joel Anthony,NBA,1,2017,35,10
Pero Antic,NBA,0,2015,18,2
OG Anunoby,NBA,3,2018,26,1
Keith Appling,NBA,2,2016,36,1
Rafael Araujo,NBA,1,2007,71,3
Stacey Arceneaux,NBA,3,1962,-18,1
Robert Archibald,NBA,3,2004,56,2
Tiny Archibald,NBA,2,1984,-10,14
Ryan Arcidiacono,NBA,2,2018,70,1
Jim Ard,NBA,0,1978,-4,8
Gilbert Arenas,NBA,2,2012,27,11
Trevor Ariza,NBA,3,2018,90,14
Paul Arizin,NBA,0,1962,-3,12
Joe Arlauckas,NBA,3,1988,21,1
B.J. Armstrong,NBA,2,2000,67,11
Bob Armstrong,NBA,0,1957,-23,1
Brandon Armstrong,NBA,2,2004,86,3
Curly Armstrong,NBA,0,1951,-17,3
Darrell Armstrong,NBA,2,2008,24,14
Hilton Armstrong,NBA,0,2014,59,8
Tate Armstrong,NBA,2,1979,46,2
Jesse Arnelle,NBA,3,1956,18,1
Jay Arnette,NBA,2,1966,19,3
Bob Arnzen,NBA,3,1974,-5,5
Carlos Arroyo,NBA,2,2011,23,10
Darrell Arthur,NBA,3,2018,71,10
John Arthurs,NBA,2,1970,-23,1
Jamel Artis,NBA,0,2018,32,1
Omer Asik,NBA,1,2018,52,8
Vincent Askew,NBA,0,1998,31,11
Keith Askins,NBA,0,1999,71,9
Don Asmonga,NBA,2,1954,23,1
Dick Atha,NBA,2,1958,-16,3
Chucky Atkins,NBA,2,2010,74,11
Al Attles,NBA,2,1971,55,11
Chet Aubuchon,NBA,2,1947,-21,1
Stacey Augmon,NBA,0,2006,19,15
D.J. Augustin,NBA,2,2018,34,10
James Augustine,NBA,3,2008,39,2
Isaac Austin,NBA,1,2002,58,11
Johnny Austin,NBA,2,1968,7,2
Ken Austin,NBA,3,1984,15,1
Anthony Avent,NBA,3,2000,48,8
Bird Averitt,NBA,2,1978,-1,5
William Avery,NBA,2,2002,54,3
Dennis Awtrey,NBA,1,1982,-3,12
Gustavo Ayon,NBA,1,2014,27,3
Jeff Ayres,NBA,3,2016,33,7
Kelenna Azubuike,NBA,2,2012,22,6
Chris Babb,NBA,2,2014,25,1
Luke Babbitt,NBA,3,2018,50,8
Milos Babic,NBA,0,1992,68,2
Johnny Bach,NBA,0,1949,-46,1
Dwayne Bacon,NBA,2,2018,70,1
Henry Bacon,NBA,2,1973,46,1
Jim Baechtold,NBA,0,1957,-23,5
Dalibor Bagaric,NBA,1,2003,43,3
John Bagley,NBA,2,1994,36,12
Carl Bailey,NBA,1,1982,31,1
Gus Bailey,NBA,0,1980,23,6
James Bailey,NBA,0,1988,27,9
Thurl Bailey,NBA,0,1999,24,16
Toby Bailey,NBA,2,2000,10,2
Cameron Bairstow,NBA,0,2016,63,2
Jimmie Baker,NBA,3,1976,7,1
LaMark Baker,NBA,2,1999,20,1
Maurice Baker,NBA,2,2005,82,1
Norm Baker,NBA,2,1947,-46,1
Ron Baker,NBA,2,2018,47,2
Vin Baker,NBA,3,2006,10,13
Wade Baldwin,NBA,2,2017,33,1
Renaldo Balkman,NBA,3,2012,44,6
Cedric Ball,NBA,3,1991,-6,1
Lonzo Ball,NBA,2,2018,63,1
Greg Ballard,NBA,3,1989,68,12
Herschel Baltimore,NBA,3,1947,-12,1
Gene Banks,NBA,0,1987,6,6
Marcus Banks,NBA,2,2011,64,8
Walker Banks,NBA,1,1971,11,1
Ken Bannister,NBA,0,1991,40,7
Mike Bantom,NBA,0,1982,55,9
John Barber,NBA,3,1957,-25,1
Leandro Barbosa,NBA,2,2017,49,14
Steve Bardo,NBA,2,1996,12,5
J.J. Barea,NBA,2,2018,33,12
Andrea Bargnani,NBA,0,2016,95,10
Cliff Barker,NBA,2,1952,-3,3
Tom Barker,NBA,0,1979,16,3
Charles Barkley,NBA,3,2000,22,16
Erick Barkley,NBA,2,2002,79,2
Don Barksdale,NBA,0,1955,-37,4
Harrison Barnes,NBA,3,2018,73,6
Harry Barnes,NBA,3,1969,28,1
Jim Barnes,NBA,0,1971,19,7
Marvin Barnes,NBA,0,1980,0,6
Matt Barnes,NBA,3,2017,81,14
Dick Barnett,NBA,0,1974,30,15
Jim Barnett,NBA,0,1977,24,11
Nathaniel Barnett,NBA,2,1976,38,1
John Barnhill,NBA,2,1972,19,10
Norton Barnhill,NBA,2,1977,53,1
Leo Barnhorst,NBA,0,1954,36,5
John Barr,NBA,3,1947,-3,1
Mike Barr,NBA,2,1977,33,5
Moe Barr,NBA,2,1971,-11,1
Andre Barrett,NBA,2,2008,79,4
Ernie Barrett,NBA,0,1956,13,3
Mike Barrett,NBA,2,1973,-8,4
Earl Barron,NBA,1,2015,48,10
Dana Barros,NBA,2,2004,33,15
Brent Barry,NBA,2,2009,36,14
Drew Barry,NBA,2,2000,31,3
Jon Barry,NBA,2,2006,62,14
Rick Barry,NBA,3,1980,55,15
Ed Bartels,NBA,3,1951,3,2
Vic Bartolome,NBA,1,1972,-19,1
Will Barton,NBA,2,2018,35,6
Eddie Basden,NBA,2,2006,55,1
Jerry Baskerville,NBA,3,1976,-9,1
Brandon Bass,NBA,3,2017,66,12
Tim Bassett,NBA,0,1980,5,7
Maceo Baston,NBA,3,2009,34,7
Mengke Bateer,NBA,1,2004,48,3
Billy Ray Bates,NBA,2,1983,0,4
