playerID,sport,position,start_year,start_age,years_played
aardsda01,mlb,G_p,2004,23,12
abadan01,mlb,G_if,2001,29,5
abadan01,mlb,G_p,2001,29,5
abbotje01,mlb,G_of,1997,25,5
abbotku01,mlb,G_of,1993,24,8
abbotku01,mlb,G_if,1993,24,8
abbotky01,mlb,G_p,1991,23,5
abbotpa01,mlb,G_p,1990,23,14
abercre01,mlb,G_of,2006,26,3
abernbr01,mlb,G_if,2001,24,5
abreubo01,mlb,G_of,1996,22,19
abreuju01,mlb,G_p,2011,26,1
abreuto01,mlb,G_if,2007,23,8
abreuwi01,mlb,G_p,2006,29,3
accarje01,mlb,G_p,2005,24,8
aceveal01,mlb,G_p,2008,26,6
acevejo01,mlb,G_p,2001,24,5
aceveju01,mlb,G_p,1995,25,9
achteaj01,mlb,G_p,2014,26,3
ackledu01,mlb,G_if,2011,23,5
ackledu01,mlb,G_of,2011,23,5
acostma01,mlb,G_p,2007,26,6
acrema01,mlb,G_p,1994,26,3
adamsda02,mlb,G_if,2013,26,1
adamsjo02,mlb,G_p,1996,25,3
adamsla01,mlb,G_of,2014,25,5
adamsmi03,mlb,G_p,2004,26,11
adamsru01,mlb,G_if,2004,24,5
adamsru01,mlb,G_of,2004,24,5
adamsry01,mlb,G_if,2011,24,1
adamste01,mlb,G_p,1995,22,10
adamswi02,mlb,G_p,1996,24,2
adcocna01,mlb,G_p,2011,23,5
adenhni01,mlb,G_p,2008,22,1
adkinjo01,mlb,G_p,2003,26,6
adkinst01,mlb,G_p,1990,26,1
adlemti01,mlb,G_p,2016,29,2
affelje01,mlb,G_p,2002,23,14
agbaybe01,mlb,G_of,1998,27,5
aguilch01,mlb,G_of,2004,25,5
ahearpa01,mlb,G_p,1995,26,1
ainswku01,mlb,G_p,2001,23,3
albaljo01,mlb,G_p,2007,25,5
alberan01,mlb,G_p,2013,28,5
alberjo01,mlb,G_p,1995,26,3
albural01,mlb,G_p,2011,25,7
alcanar01,mlb,G_of,2014,23,4
alcanar01,mlb,G_if,2014,23,4
alcanis01,mlb,G_of,2000,27,3
alcanra01,mlb,G_p,2016,24,2
aldresc01,mlb,G_p,1990,22,10
aldrico01,mlb,G_of,2001,22,9
alexage01,mlb,G_p,1990,22,2
alexama02,mlb,G_if,1992,21,15
alexama02,mlb,G_p,1992,21,15
alfarja01,mlb,G_if,2004,27,1
alfonan01,mlb,G_p,1997,25,11
alfoned01,mlb,G_if,1995,22,12
alfonel01,mlb,G_c,2006,27,6
allenbr01,mlb,G_if,2009,23,3
allenbr01,mlb,G_of,2009,23,3
allench01,mlb,G_of,1999,24,7
allendu01,mlb,G_if,2000,28,1
allendu01,mlb,G_of,2000,28,1
allenje01,mlb,G_of,1996,24,3
allenlu01,mlb,G_of,2002,24,1
allenlu01,mlb,G_p,2002,24,1
allisda01,mlb,G_p,1991,25,1
almanar01,mlb,G_p,1999,27,6
almanca01,mlb,G_p,1997,24,8
almoned01,mlb,G_p,2003,27,1
almoner01,mlb,G_if,2001,23,10
almoner01,mlb,G_of,2001,23,10
almonhe01,mlb,G_p,1999,24,5
almonmi01,mlb,G_p,2015,22,4
almonzo01,mlb,G_of,2013,24,2
aloumo01,mlb,G_of,1990,24,18
alstoga01,mlb,G_p,1996,25,1
alvarab01,mlb,G_p,2004,22,2
alvarcl01,mlb,G_c,2000,32,1
alvarda01,mlb,G_p,2014,25,3
alvarda02,mlb,G_of,2015,27,1
alvarga01,mlb,G_if,1998,24,3
alvarga01,mlb,G_of,1998,24,3
alvarga01,mlb,G_p,1998,24,3
alvarhe01,mlb,G_p,2011,21,7
alvarju01,mlb,G_p,1999,26,4
alvarpe01,mlb,G_if,2010,23,8
alvarrj01,mlb,G_p,2014,23,2
alvarta01,mlb,G_p,1995,24,2
alvarto01,mlb,G_of,2002,23,3
alvarvi01,mlb,G_p,2002,26,2
amarari01,mlb,G_if,1991,29,10
amarari01,mlb,G_of,1991,29,10
amarial01,mlb,G_if,2011,22,7
amarial01,mlb,G_p,2011,22,7
amarial01,mlb,G_of,2011,22,7
amaroru02,mlb,G_of,1991,26,8
ambrech01,mlb,G_of,2005,26,4
ambrihe01,mlb,G_p,2010,26,5
amesst01,mlb,G_p,2013,25,1
amezaal01,mlb,G_if,2002,24,10
amezaal01,mlb,G_of,2002,24,10
anderbr02,mlb,G_p,1993,21,12
anderbr03,mlb,G_of,2005,23,5
anderbr05,mlb,G_c,2010,24,6
anderbr05,mlb,G_p,2010,24,6
anderdr01,mlb,G_of,2006,25,1
anderga01,mlb,G_of,1994,22,17
anderja01,mlb,G_p,2003,24,3
anderji02,mlb,G_p,1999,23,6
anderjo03,mlb,G_of,2007,25,3
anderla03,mlb,G_if,2010,23,2
anderla03,mlb,G_of,2010,23,2
anderma01,mlb,G_p,1998,22,8
anderma02,mlb,G_if,1998,24,11
anderma02,mlb,G_of,1998,24,11
anderma02,mlb,G_p,1998,24,11
andermi02,mlb,G_p,1993,27,1
andinro01,mlb,G_if,2005,21,12
andrast01,mlb,G_p,2006,28,1
andrecl01,mlb,G_p,2000,22,1
andresh01,mlb,G_if,1995,24,8
andujlu01,mlb,G_p,1995,23,3
anglema01,mlb,G_of,2011,26,1
ankieri01,mlb,G_p,1999,20,14
ankieri01,mlb,G_of,1999,20,14
annade01,mlb,G_if,2014,28,2
annade01,mlb,G_p,2014,28,2
antoldu01,mlb,G_p,2016,27,0
antonma01,mlb,G_if,2008,23,1
aokino01,mlb,G_of,2012,30,6
aquingr01,mlb,G_p,2004,26,5
aquinja01,mlb,G_p,2016,24,2
araujel01,mlb,G_p,2015,24,2
arciafr01,mlb,G_c,2018,29,1
arciaos01,mlb,G_of,2013,22,4
arciaos01,mlb,G_p,2013,22,4
ardoida01,mlb,G_c,2000,26,9
arencjp01,mlb,G_c,2010,24,6
ariasal01,mlb,G_if,1992,25,11
ariasal02,mlb,G_p,2007,24,3
