player_ID,sport,position,start_year,start_age,years_played
Alaa Abdelnaby,NBA,multi,1991,23,5
Zaid Abdul-Aziz,NBA,multi,1969,23,10
Kareem Abdul-Jabbar,NBA,C,1970,23,20
Mahmoud Abdul-Rauf,NBA,G,1991,22,11
Tariq Abdul-Wahad,NBA,F,1998,24,6
Shareef Abdur-Rahim,NBA,F,1997,21,12
Tom Abernethy,NBA,F,1977,23,5
Forest Able,NBA,G,1957,25,1
John Abramovic,NBA,F,1947,28,2
Alex Abrines,NBA,multi,2017,24,2
Alex Acker,NBA,G,2006,23,4
Don Ackerman,NBA,G,1954,24,1
Mark Acres,NBA,multi,1988,26,6
Bud Acton,NBA,F,1968,26,1
Quincy Acy,NBA,F,2013,23,6
Alvan Adams,NBA,multi,1976,22,13
Don Adams,NBA,F,1971,24,7
George Adams,NBA,multi,1973,24,3
Hassan Adams,NBA,G,2007,23,3
Jordan Adams,NBA,G,2015,21,2
Michael Adams,NBA,G,1986,23,11
Steven Adams,NBA,C,2014,21,5
Rafael Addison,NBA,multi,1987,23,11
Bam Adebayo,NBA,multi,2018,21,1
Rick Adelman,NBA,G,1969,23,7
Jeff Adrien,NBA,F,2011,25,5
Arron Afflalo,NBA,G,2008,23,11
Maurice Ager,NBA,G,2007,23,5
Mark Aguirre,NBA,multi,1982,23,13
Blake Ahearn,NBA,G,2008,24,5
Danny Ainge,NBA,G,1982,23,14
Matthew Aitch,NBA,F,1968,24,1
Alexis Ajinca,NBA,C,2009,21,9
Henry Akin,NBA,multi,1967,23,3
Josh Akognon,NBA,G,2013,27,1
Solomon Alabi,NBA,C,2011,23,2
Mark Alarie,NBA,F,1987,24,5
Gary Alcorn,NBA,C,1960,24,2
Furkan Aldemir,NBA,multi,2015,24,1
Cole Aldrich,NBA,C,2011,23,8
LaMarcus Aldridge,NBA,multi,2007,22,12
Chuck Aleksinas,NBA,C,1985,26,1
Cliff Alexander,NBA,F,2016,21,1
Cory Alexander,NBA,G,1996,23,10
Courtney Alexander,NBA,G,2001,24,3
Gary Alexander,NBA,F,1994,25,1
Joe Alexander,NBA,F,2009,23,2
Victor Alexander,NBA,multi,1992,23,11
Steve Alford,NBA,G,1988,24,4
Jarrett Allen,NBA,multi,2018,45,1
Kadeem Allen,NBA,G,2018,29,1
Malik Allen,NBA,multi,2002,37,10
Ray Allen,NBA,G,1997,15,18
Willie Allen,NBA,F,1972,23,1
Lance Allred,NBA,C,2008,50,1
Morris Almond,NBA,G,2008,36,5
Derrick Alston,NBA,F,1995,19,3
Rafer Alston,NBA,G,2000,27,11
Peter Aluma,NBA,C,1999,29,1
John Amaechi,NBA,multi,1996,25,8
Al-Farouq Aminu,NBA,F,2011,29,8
Chris Andersen,NBA,multi,2002,22,16
David Andersen,NBA,C,2010,28,2
Cliff Anderson,NBA,multi,1968,25,4
Derek Anderson,NBA,G,1998,38,11
Eric Anderson,NBA,F,1993,29,2
Greg Anderson,NBA,multi,1988,28,11
Justin Anderson,NBA,G,2016,46,3
Kenny Anderson,NBA,G,1992,37,14
Kyle Anderson,NBA,multi,2015,49,4
Michael Anderson,NBA,G,1989,21,1
Nick Anderson,NBA,multi,1990,30,13
Richard Anderson,NBA,multi,1983,25,8
Ryan Anderson,NBA,F,2009,36,10
Shandon Anderson,NBA,multi,1997,30,10
Willie Anderson,NBA,multi,1989,43,9
Ike Anigbogu,NBA,multi,2018,51,1
Giannis Antetokounmpo,NBA,multi,2014,22,5
Thanasis Antetokounmpo,NBA,F,2016,32,1
Carmelo Anthony,NBA,F,2004,37,15
Greg Anthony,NBA,G,1992,10,11
Joel Anthony,NBA,C,2008,26,10
OG Anunoby,NBA,F,2018,26,1
Keith Appling,NBA,G,2016,36,1
Robert Archibald,NBA,F,2003,55,2
Gilbert Arenas,NBA,G,2002,17,11
Joe Arlauckas,NBA,F,1988,21,1
Darrell Armstrong,NBA,G,1995,11,14
Hilton Armstrong,NBA,multi,2007,52,8
Tate Armstrong,NBA,G,1978,45,2
Jay Arnette,NBA,G,1964,17,3
Carlos Arroyo,NBA,G,2002,14,10
Jamel Artis,NBA,multi,2018,32,1
Omer Asik,NBA,C,2011,45,8
Vincent Askew,NBA,multi,1988,21,11
Don Asmonga,NBA,G,1954,23,1
Al Attles,NBA,G,1961,45,11
Stacey Augmon,NBA,multi,1992,5,15
