player,position,C,D,LW,RW,start_year,start_age,years_played
A.J. Greer\greeraj01,LW,0,0,1,0,2017,20,1
Aaron Downey\downeaa01,RW,0,0,0,1,2006,31,4
Aaron Ekblad\ekblaaa01,D,0,1,0,0,2015,18,3
Aaron Gagnon\gagnoaa01,C,1,0,0,0,2010,23,4
Aaron Gavey\gaveyaa01,C,1,0,0,0,2006,31,1
Aaron Johnson\johnsaa01,D,0,1,0,0,2006,22,8
Aaron MacKenzie\mackeaa01,D,0,1,0,0,2009,27,1
Aaron Miller\milleaa01,D,0,1,0,0,2006,34,3
Aaron Ness\nessaa01,D,0,1,0,0,2012,21,6
Aaron Palushaj\palusaa01,RW,0,0,0,1,2011,21,4
Aaron Rome\romeaa01,D,0,1,0,0,2007,23,8
Aaron Volpatti\volpaaa01,LW,0,0,1,0,2011,25,5
Aaron Voros\vorosaa01,LW,0,0,1,0,2008,26,4
Aaron Ward\wardaa01,D,0,1,0,0,2006,33,5
Adam Almqvist\almqvad01,D,0,1,0,0,2014,22,1
Adam Berti\bertiad01,LW,0,0,1,0,2008,21,1
Adam Burish\burisad01,C,1,0,0,0,2007,24,9
Adam Clendening\clendad01,D,0,1,0,0,2015,22,3
Adam Cracknell\crackad01,RW,0,0,0,1,2011,25,7
Adam Erne\ernead01,LW,0,0,1,0,2017,21,1
Adam Foote\footead01,D,0,1,0,0,2006,34,6
Adam Hall\hallad01,RW,0,0,0,1,2006,25,9
Adam Henrique\henriad01,C,1,0,0,0,2011,20,7
Adam Larsson\larssad01,D,0,1,0,0,2012,19,6
Adam Lowry\lowryad01,C,1,0,0,0,2015,21,3
Adam Mair\mairad01,C,1,0,0,0,2006,26,6
Adam McQuaid\mcquaad01,D,0,1,0,0,2010,23,8
Adam Pardy\pardyad01,D,0,1,0,0,2009,24,9
Adam Payerl\payerad01,C,1,0,0,0,2014,22,1
Adam Pelech\pelecad01,D,0,1,0,0,2016,21,2
Adam Pineault\pineaad01,RW,0,0,0,1,2008,21,1
Adrian Aucoin\aucoiad01,D,0,1,0,0,2006,32,8
Adrian Kempe\kempead01,LW,0,0,1,0,2017,20,1
Aki Berg\bergak01,D,0,1,0,0,2006,28,1
Akim Aliu\aliuak01,RW,0,0,0,1,2012,22,2
Alain Nasreddine\nasreal01,D,0,1,0,0,2006,30,3
Alan Quine\quineal01,C,1,0,0,0,2016,22,2
Alec Martinez\martial01,D,0,1,0,0,2010,22,8
Aleksander Barkov\barkoal01,C,1,0,0,0,2014,18,4
Ales Hemsky\hemskal01,RW,0,0,0,1,2006,22,12
Ales Kotalik\kotalal01,RW,0,0,0,1,2006,27,6
Alex Biega\biegaal01,D,0,1,0,0,2015,26,3
Alex Brooks\brookal01,D,0,1,0,0,2007,30,1
Alex Chiasson\chiasal01,RW,0,0,0,1,2013,22,5
Alex Foster\fosteal01,C,1,0,0,0,2008,23,1
Alex Friesen\friesal01,C,1,0,0,0,2016,25,1
Alex Frolov\froloal01,LW,0,0,1,0,2006,23,6
Alex Galchenyuk\galchal01,C,1,0,0,0,2013,18,5
Alex Goligoski\goligal01,D,0,1,0,0,2008,22,10
Alex Grant\grantal01,D,0,1,0,0,2014,25,3
