Player,sport,position,start_year,start_age,years_played
A.J. Greer\greeraj01,Hockey,Left Wing,2017,20,1
Aaron Ekblad\ekblaaa01,Hockey,Defense,2015,18,3
Aaron Gagnon\gagnoaa01,Hockey,Center,2010,23,4
Aaron MacKenzie\mackeaa01,Hockey,Defense,2009,27,1
Andreas Karlsson\karlsan01,Hockey,Center,2007,31,2
Aaron Ness\nessaa01,Hockey,Defense,2012,21,6
Aaron Palushaj\palusaa01,Hockey,Right Wing,2011,21,4
Aaron Rome\romeaa01,Hockey,Defense,2007,23,8
Aaron Volpatti\volpaaa01,Hockey,Left Wing,2011,25,5
Aaron Voros\vorosaa01,Hockey,Left Wing,2008,26,4
Adam Almqvist\almqvad01,Hockey,Defense,2014,22,1
Adam Berti\bertiad01,Hockey,Left Wing,2008,21,1
Adam Burish\burisad01,Hockey,Center,2007,24,9
Adam Clendening\clendad01,Hockey,Defense,2015,22,3
Adam Cracknell\crackad01,Hockey,Right Wing,2011,25,7
Adam Erne\ernead01,Hockey,Left Wing,2017,21,1
Adam Henrique\henriad01,Hockey,Center,2011,20,7
Adam Larsson\larssad01,Hockey,Defense,2012,19,6
Adam Lowry\lowryad01,Hockey,Center,2015,21,3
Adam McQuaid\mcquaad01,Hockey,Defense,2010,23,8
Adam Pardy\pardyad01,Hockey,Defense,2009,24,9
Adam Payerl\payerad01,Hockey,Center,2014,22,1
Adam Pelech\pelecad01,Hockey,Defense,2016,21,2
Adam Pineault\pineaad01,Hockey,Right Wing,2008,21,1
Bates Battaglia\battaba01,Hockey,Left Wing,2007,31,2
Adrian Kempe\kempead01,Hockey,Left Wing,2017,20,1
Akim Aliu\aliuak01,Hockey,Right Wing,2012,22,2
Alan Quine\quineal01,Hockey,Center,2016,22,2
Alec Martinez\martial01,Hockey,Defense,2010,22,8
Aleksander Barkov\barkoal01,Hockey,Center,2014,18,4
Alex Biega\biegaal01,Hockey,Defense,2015,26,3
Alex Brooks\brookal01,Hockey,Defense,2007,30,1
Alex Chiasson\chiasal01,Hockey,Right Wing,2013,22,5
Alex Foster\fosteal01,Hockey,Center,2008,23,1
Alex Friesen\friesal01,Hockey,Center,2016,25,1
