Age,Birth Place,Birthday,College,Current Status,Experience (in seasons),Height (inches),Name,Position,Weight (lbs),Years Played
,"Grand Rapids , MI",5/23/1921,Notre Dame,Retired,3,71,"Evans, Fred",,185,1946 - 1948
,"Dayton , OH",12/21/1930,Dayton,Retired,1,70,"Raiff, Jim",,235,1954 - 1954
56,"Temple , TX",9/11/1960,Louisiana Tech,Retired,1,74,"Fowler, Bobby",,230,1985 - 1985
30,"New Orleans , LA",9/30/1986,LSU,Retired,5,73,"Johnson, Quinn",,255,2009 - 2013
25,"Detroit , MI",3/31/1992,Central Michigan,Active,3,77,"Walton, L.T.",DE,305,
,"Sumner , IL",9/11/1892,Illinois,Retired,1,73,"Petty, Ross",,180,1920 - 1920
,"Casper , WY",9/16/1920,Wisconsin,Retired,3,73,"Farris, Tom",,185,1946 - 1948
,,,No College,Retired,1,,"Thompson, Pinky",,,1927 - 1927
98,"Alverton , PA",2/23/1919,Duquesne,Retired,1,70,"Gonda, George",,175,1942 - 1942
,"Orlando , FL",3/8/1945,Tennessee Tech,Retired,3,76,"Tanner, John",,231,1971 - 1974
56,"Alton , IL",2/10/1961,Southern University,Retired,1,69,"Raglin, Floyd",,180,1987 - 1987
33,,12/4/1983,Boise State,Retired,1,74,"Zabransky, Jared",,219,2007 - 2007
27,"Little Rock , AR",11/22/1989,Arkansas,Retired,3,71,"Adams, Joe",,185,2012 - 2014
73,"St. Louis , MO",12/8/1943,Missouri,Retired,8,73,"Otto, Gus",,220,1965 - 1972
74,"Barberton , OH",9/1/1942,Florida A&M,Retired,3,73,"Thomas, Gene",,210,1966 - 1968
66,"Indianola , IA",12/1/1950,Arizona,Retired,2,74,"Demory, Bill",,195,1973 - 1974
25,,3/11/1992,Pittsburgh,Active,1,74,"Garner, Manasseh",TE,220,
53,"New Orleans , LA",6/14/1963,Louisiana-Lafayette,Retired,9,68,"Verdin, Clarence",,160,1986 - 1994
50,"Scranton , PA",1/15/1967,Syracuse,Retired,1,74,"DeRiggi, Fred",,268,1990 - 1990
,"Birmingham , AL",10/18/1922,Yale,Retired,2,72,"Schuler, Bill",,215,1947 - 1948
27,"Reno , NV",2/15/1990,Nevada,Retired,1,79,"Nady, Jeff",,305,2013 - 2013
55,"Fort Ord , CA",1/7/1962,California,Retired,9,75,"Rivera, Ron",,235,1984 - 1992
39,"Waxahachie , TX",6/29/1977,Texas Tech,Retired,1,75,"Reagor, Montae",,285,1999 - 2008
