sport,position,retire_year,retire_age,years_played
nba,F-C,1995,27,5
nba,C-F,1978,32,10
nba,C,1989,42,20
nba,G,2001,32,11
nba,F,2003,29,6
nba,F,2008,32,12
nba,F,1981,27,5
nba,G,1957,25,1
nba,F,1948,29,2
nba,G-F,2018,25,2
nba,G,2009,26,4
nba,G,1954,24,1
nba,F-C,1993,31,6
nba,F,1968,26,1
nba,F,2018,28,6
nba,C-F,1988,34,13
nba,F,1977,30,7
nba,F-G,1975,26,3
nba,G,2009,25,3
nba,G,2016,22,2
nba,G,1996,33,11
nba,C,2018,25,5
nba,F-G,1997,33,11
nba,C-F,2018,21,1
nba,G,1975,29,7
nba,F,2015,29,5
nba,G,2018,33,11
nba,G,2011,27,5
nba,F-G,1994,35,13
nba,G,2012,28,5
nba,G,1995,36,14
nba,F,1968,24,1
nba,C,2017,29,9
nba,C-F,1969,25,3
nba,G,2013,27,1
nba,C,2012,24,2
nba,F,1991,28,5
nba,C,1961,25,2
nba,F-C,2015,24,1
nba,C,2018,30,8
nba,F-C,2018,33,12
nba,C,1985,26,1
nba,F,2016,21,1
nba,G,2005,32,10
nba,G,2003,26,3
nba,F,1994,25,1
nba,F,2010,24,2
nba,C-F,2002,33,11
nba,G,1991,27,4
nba,C-F,1968,22,1
nba,F,1969,23,1
nba,F-C,2018,20,1
nba,G,1997,24,2
nba,G,2018,25,1
nba,F-C,2017,28,6
nba,G,1979,32,10
nba,F-C,2011,33,10
nba,F,1990,25,2
nba,G,2014,39,18
nba,G-F,2018,36,14
nba,F,1972,23,1
nba,F,1972,23,1
nba,C,2008,27,1
nba,F,1981,23,1
nba,G,2012,27,5
nba,F,1997,25,3
nba,G,2010,34,11
nba,C,1999,26,1
nba,C-F,2003,33,8
nba,F,1997,26,2
nba,F,2018,28,8
nba,F,2016,34,10
nba,F-G,1960,23,1
nba,F-C,2017,39,16
nba,C,2011,31,2
nba,G-F,2017,35,12
nba,G,1970,25,3
nba,G,2010,25,1
nba,G-F,1971,27,4
nba,C,1969,26,2
nba,G,1976,25,2
nba,G,2008,34,11
nba,G,1983,23,1
nba,F,1994,24,2
nba,F-C,1998,34,11
nba,F,1985,25,3
nba,G-F,2016,27,6
nba,G,1977,24,2
nba,G,2018,25,3
nba,G,2005,35,14
nba,F,1979,24,1
nba,F-G,2018,25,4
nba,G,1989,23,1
nba,F-G,2002,34,13
nba,F-C,1990,30,8
nba,F-G,1994,36,10
nba,F,2018,30,10
nba,F-G,2006,33,10
nba,G-F,1997,30,9
nba,C-F,1970,24,1
nba,C,2006,20,1
nba,F,1955,25,1
nba,F-C,2018,20,1
nba,F,1992,25,3
nba,C,2000,25,3
nba,F-G,2018,24,5
nba,F,2016,24,1
nba,F,2018,34,15
nba,G,2002,35,11
nba,C,2017,35,10
nba,C-F,2015,33,2
nba,F,2018,21,1
nba,G,2016,24,1
nba,C,2007,27,3
nba,F,1962,26,1
nba,F,2004,24,2
nba,G,1984,36,14
nba,G,2018,24,1
nba,F-C,1978,30,8
nba,G,2012,30,11
nba,F,2018,33,14
nba,F-G,1962,-66,12
nba,F,1988,23,1
nba,G,2000,33,11
nba,C-F,1957,24,1
nba,G,2004,24,3
nba,G-F,1951,-67,3
nba,G,2008,40,14
nba,F-C,2014,30,8
nba,G,1979,24,2
nba,F,1956,23,1
nba,G,1966,28,3
nba,F,1974,27,5
nba,G,2011,32,10
nba,F,2018,30,10
nba,G,1970,23,1
nba,G-F,2018,25,1
nba,C,2018,32,8
nba,G-F,1998,32,11
nba,G-F,1999,32,9
nba,G,1954,-74,1
nba,G,1958,27,3
nba,G,2010,36,11
nba,G,1971,35,11
nba,G,1947,-69,1
nba,F-G,2006,38,15
nba,G,2018,31,10
nba,F,2008,24,2
nba,C,2002,33,11
nba,G,1968,24,2
nba,F,1984,23,1
nba,F,2000,31,8
nba,G,1978,26,5
nba,G,2002,23,3
nba,C,1982,34,12
nba,C,2014,29,3
nba,F,2016,29,7
nba,G,2012,29,6
nba,G,2014,24,1
nba,F,2018,29,8
nba,C-F,1992,24,2
nba,F-G,1949,-75,1
nba,G,2018,23,1
nba,G,1973,25,1
nba,F-G,1957,-70,5
nba,C,2003,23,3
nba,G,1994,34,12
nba,C,1982,24,1
nba,G-F,1980,29,6
nba,F-C,1988,31,9
