age,birth_date,college,retirement_status,years_played,height,player_name,position,weight_lbs,year_start,year_end
,5/23/1921,Notre Dame,Retired,3,71,"Evans, Fred",,185,1946,1948
,12/21/1930,Dayton,Retired,1,70,"Raiff, Jim",,235,1954,1954
56,9/11/1960,Louisiana Tech,Retired,1,74,"Fowler, Bobby",,230,1985,1985
30,9/30/1986,LSU,Retired,5,73,"Johnson, Quinn",,255,2009,2013
25,3/31/1992,Central Michigan,Active,3,77,"Walton, L.T.",DE,305,,
,9/11/1892,Illinois,Retired,1,73,"Petty, Ross",,180,1920,1920
,9/16/1920,Wisconsin,Retired,3,73,"Farris, Tom",,185,1946,1948
,,No College,Retired,1,,"Thompson, Pinky",,,1927,1927
98,2/23/1919,Duquesne,Retired,1,70,"Gonda, George",,175,1942,1942
,3/8/1945,Tennessee Tech,Retired,3,76,"Tanner, John",,231,1971,1974
56,2/10/1961,Southern University,Retired,1,69,"Raglin, Floyd",,180,1987,1987
33,12/4/1983,Boise State,Retired,1,74,"Zabransky, Jared",,219,2007,2007
27,11/22/1989,Arkansas,Retired,3,71,"Adams, Joe",,185,2012,2014
73,12/8/1943,Missouri,Retired,8,73,"Otto, Gus",,220,1965,1972
74,9/1/1942,Florida A&M,Retired,3,73,"Thomas, Gene",,210,1966,1968
66,12/1/1950,Arizona,Retired,2,74,"Demory, Bill",,195,1973,1974
25,3/11/1992,Pittsburgh,Active,1,74,"Garner, Manasseh",TE,220,,
53,6/14/1963,Louisiana-Lafayette,Retired,9,68,"Verdin, Clarence",,160,1986,1994
50,1/15/1967,Syracuse,Retired,1,74,"DeRiggi, Fred",,268,1990,1990
,10/18/1922,Yale,Retired,2,72,"Schuler, Bill",,215,1947,1948
27,2/15/1990,Nevada,Retired,1,79,"Nady, Jeff",,305,2013,2013
55,1/7/1962,California,Retired,9,75,"Rivera, Ron",,235,1984,1992
39,6/29/1977,Texas Tech,Retired,1,75,"Reagor, Montae",,285,1999,2008
57,5/16/1960,Missouri,Retired,1,74,"Sealby, Randy",,230,1987,1987
,5/22/1918,American International,Retired,4,73,"Sergienko, George",,248,1943,1946
,2/9/1896,No College,Retired,1,,"Beckwith, Norm",,150,1920,1920
38,9/6/1978,Arizona,Retired,7,76,"Tafoya, Joe",,258,2001,2008
28,9/12/1988,Arkansas State,Retired,3,72,"Hall, Bryan",,280,2011,2013
34,3/3/1983,Georgia Tech,Retired,1,78,"Wallace, Kyle",,295,2005,2005
62,9/14/1954,Florida,Retired,2,77,"Darby, Al",,221,1976,1978
28,5/28/1989,Michigan State,Retired,2,74,"Dell, Mark",,195,2011,2012
74,3/3/1943,Hofstra,Retired,1,74,"D'Amato, Mike",,205,1968,1968
60,7/7/1956,Arkansas,Retired,2,70,"Sampson, Howard",,185,1978,1979
78,1/21/1939,U. of Pacific,Retired,1,75,"Bass, Norm",,210,1964,1964
29,4/1/1988,Ohio State,Active,8,71,"Coleman, Kurt",SS,200,,
63,10/7/1953,Colorado State,Retired,4,76,"Larson, Bill",,225,1975,1980
26,7/28/1990,Ohio U.,Active,4,72,"Carrie, T.J.",SS,205,,
43,4/12/1974,Florida,Retired,6,70,"Weary, Fred",,181,1998,2003
29,11/30/1987,South Florida,Active,8,72,"Allen, Nate",DB,210,,
29,10/25/1987,Illinois State,Retired,1,77,"Riley, Chris",,305,2011,2012
,9/14/1927,Georgia,Retired,7,70,"Reid, Breezy",,187,1950,1956
,9/12/1924,Columbia,Retired,1,74,"Gehrke, Bruce",,190,1948,1948
,7/30/1937,Oklahoma,Retired,3,72,"Baker, Dave",,192,1959,1961
41,10/13/1975,Buffalo,Retired,8,77,"Ellis, Ed",,325,1997,2004
24,5/5/1993,Akron,Active,1,75,"Williams, Isaiah",OT,295,,
39,5/17/1978,Iowa,Retired,1,74,"Baker, Jason",,205,2001,2011
33,6/9/1983,Nebraska,Retired,7,71,"Washington, Fabian",,175,2005,2011
69,7/31/1947,Mississippi State,Retired,1,70,"Pharr, Tommy",,187,1970,1970
43,12/27/1973,Arkansas,Retired,1,76,"Alderson, Winston",,344,1997,1997
59,6/14/1957,Colorado State,Retired,2,69,"Bell, Mark",,175,1980,1981
30,9/4/1986,Maryland,Retired,0,77,"Randolph, Dane",,310,2009,2009
24,1/15/1993,Pittsburg State,Active,2,74,"Bausby, DeVante",CB,190,,
,3/19/1919,Creighton,Retired,2,70,"Knolla, Johnny",,180,1942,1945
81,1/23/1936,Compton CC CA,Retired,5,74,"Lewis, Joe",,256,1958,1962
26,1/24/1991,Texas Christian,Retired,1,68,"James, Waymon",,203,2014,2014
,11/23/1909,St. Mary's (CA),Retired,2,74,"Nichelini, Al",,207,1935,1936
27,5/3/1990,Iowa,Retired,1,71,"Castillo, Greg",,187,2013,2013
51,10/30/1965,Illinois,Retired,1,70,"Harkey, Lance",,180,1987,1987
59,5/30/1958,Notre Dame,Retired,1,78,"Foley, Tim",,275,1981,1981
39,9/8/1977,Texas A&M,Retired,9,69,"Webster, Jason",,187,2000,2008
78,12/10/1938,Clemson,Retired,1,73,"Mathis, Bill",,220,1960,1969
27,1/1/1990,Montana,Active,6,74,"Johnson, Trumaine",CB,208,,
30,11/19/1986,Utah,Active,8,76,"Beadles, Zane",G,305,,
,4/23/1959,North Texas,Retired,7,74,"Elliott, Tony",,282,1982,1988
34,5/29/1983,Eastern Michigan,Retired,0,78,"Kaleita, Tom",,318,2006,2006
30,2/18/1987,Syracuse,Retired,1,74,"Lewis, Andrew",,303,2011,2011
68,1/11/1949,Tennessee State,Retired,5,74,"Thaxton, Jim",,240,1973,1978
27,1/19/1990,USC,Active,3,75,"Holmes, Khaled",C,309,,
31,11/17/1985,Duke,Retired,1,78,"Goldberg, Cameron",,265,2009,2009
27,4/26/1990,Pittsburgh,Active,4,76,"Savage, Tom",QB,230,,
86,8/12/1930,Maryland,Retired,3,74,"Scarbath, Jack",,206,1953,1956
66,9/16/1950,Tennessee State,Retired,4,76,"Kindle, Greg",,265,1974,1977
22,8/2/1994,Mississippi,Active,2,77,"Tunsil, Laremy",OG,316,,
58,10/23/1958,Virginia,Retired,1,68,"Taylor, Greg",,175,1982,1982
33,2/6/1984,Washington State,Retired,7,71,"Frampton, Eric",,202,2007,2013
,6/18/1910,Texas A&M,Retired,8,76,"Malone, Chuck",,206,1934,1942
,6/21/1929,Kentucky,Retired,1,75,"Gain, Bob",,256,1952,1964
64,1/21/1953,Nebraska,Retired,6,71,"Davis, Tony",,212,1976,1981
29,5/3/1988,LSU,Unsigned free agent,8,72,"Riley, Perry",MLB,240,,
32,10/27/1984,Boston College,Active,1,72,"Blackmon, Will",FS,212,,
34,11/11/1982,Central Florida,Retired,3,79,"Carrington, Paul",,270,2006,2008
45,9/2/1971,UCLA,Retired,9,76,"Maddox, Tommy",,219,1992,2005
25,7/12/1991,Georgia Southern,Retired,3,74,"Eubanks, Darius",,222,2013,2015
37,4/26/1980,Virginia Tech,Retired,0,73,"Lewis, Kevin",,285,2006,2006
35,2/9/1982,Washington,Retired,3,70,"Johnson, Derrick",,186,2005,2008
78,2/17/1939,Michigan State,Retired,1,72,"Fontes, Wayne",,190,1962,1962
52,12/15/1964,Southern Methodist,Retired,1,73,"Ball, Jerry",,330,1987,1999
47,12/1/1969,Syracuse,Retired,1,78,"Dees, Andre",,266,1992,1992
33,5/5/1984,Wake Forest,Retired,1,73,"Ghee, Patrick",,211,2007,2008
,4/19/1909,Temple,Retired,1,74,"Johnson, Lorne",,195,1934,1934
32,8/21/1984,No College,Retired,1,73,"Scaccia, Fabrizio",,210,2010,2011
47,10/11/1969,Florida,Retired,5,76,"Dixon, Cal",,302,1992,1996
36,9/12/1980,West Virginia,Retired,3,75,"Davis, Jason",,320,2003,2006
,6/4/1921,Wisconsin,Retired,1,71,"Calligaro, Len",,190,1944,1944
34,2/2/1983,Miami (Fla.),Retired,1,74,"Maxey, Marcus",,200,2006,2007
,11/24/1915,Northwestern,Retired,4,74,"Zorich, George",,213,1944,1947
,12/10/1898,No College,Retired,2,,"Lanham, Charlie",,170,1922,1923
31,10/3/1985,Missouri,Retired,0,75,"Ekwerekwu, Brad",,215,2007,2007
,2/18/1924,Texas,Retired,1,76,"Kelley, Ed",,230,1949,1949
,8/15/1908,Notre Dame,Retired,1,71,"Leahy, Bernie",,185,1932,1932
36,1/22/1981,Iowa State,Retired,3,77,"Carstens, Jordan",,300,2004,2006
25,12/26/1991,Kansas State,Active,1,72,"Evans, Randall",CB,195,,
26,12/13/1990,Youngstown State,Retired,3,74,"Mady, Lamar",,315,2013,2015
,1/22/1898,Nebraska,Retired,1,76,"Wenke, Ad",,220,1923,1923
57,9/9/1959,Georgia Tech,Retired,1,74,"Taylor, Jim Bob",,205,1983,1983
40,9/30/1976,Montana,Retired,2,73,"Neil, Dallas",,235,2000,2002
68,4/11/1949,San Diego State,Retired,3,75,"Reynolds, Tom",,200,1972,1974
,10/21/1972,Louisiana-Lafayette,Retired,7,73,"Thomas, Orlando",,225,1995,2001
27,8/21/1989,Boise State,Retired,2,71,"Young, Titus",,174,2011,2012
,6/16/1889,Minnesota,Retired,1,71,"Capron, Ralph",,165,1920,1920
35,5/9/1982,Purdue,Retired,5,73,"Gardner, Gilbert",,228,2004,2008
77,4/9/1940,San Diego State,Retired,1,74,"Martin, Larry",,270,1966,1966
43,8/9/1973,Virginia Tech,Retired,1,77,"Hagood, Jay",,306,1997,1997
27,1/11/1990,Tennessee,Active,6,77,"Jackson, Malik",DT,300,,
68,11/16/1948,Tuskegee,Retired,1,75,"May, Art",,255,1971,1971
72,10/1/1944,Tennessee State,Retired,2,73,"Johnson, Lee",,200,1969,1970
58,11/7/1958,Abilene Christian,Retired,2,79,"Feasel, Greg",,300,1986,1987
42,7/1/1974,Duke,Retired,3,75,"Farmer, Ray",,225,1996,1998
35,12/14/1981,North Carolina State,Retired,0,70,"Hall, Tramain",,190,2006,2007
53,12/3/1963,Northeastern,Retired,1,75,"Sandham, Todd",,255,1987,1987
30,5/12/1987,Indiana,Retired,2,73,"Kirlew, Jammie",,260,2010,2011
50,9/3/1966,Notre Dame,Retired,6,71,"Eilers, Pat",,195,1990,1995
25,9/23/1991,Tennessee,Active,4,77,"Fulton, Zach",G,316,,
83,12/11/1933,Miami (Fla.),Retired,5,75,"Johnson, Jack",,198,1957,1961
,9/2/1935,Los Angeles State,Retired,2,76,"Anderson, Ralph",,223,1958,1960
29,12/11/1987,South Carolina,Retired,6,80,"Geathers, Clifton",,325,2010,2015
32,5/8/1985,Grambling State,Retired,2,77,"Banks, Jason",,296,2008,2009
30,9/29/1986,Florida State,Retired,0,68,"Garvin, Michael Ray",,182,2009,2009
,4/8/1918,Minnesota,Retired,1,73,"Perko, John",,225,1946,1946
49,10/4/1967,Michigan,Retired,4,74,"Teeter, Mike",,275,1991,1995
40,7/30/1976,Tennessee,Retired,1,71,"Hall, Jeff",,190,2000,2000
78,1/8/1939,Kentucky,Retired,9,73,"Talamini, Bob",,255,1960,1968
25,12/21/1991,New Mexico State,Retired,2,75,"Wallace, Davonte",,308,2014,2015
50,6/19/1966,Washington,Retired,1,73,"Erlandson, Tom Jr.",,220,1988,1988
29,10/5/1987,North Carolina,Active,9,73,"Tate, Brandon",WR,195,,
72,8/7/1944,Wyoming,Retired,1,70,"Marion, Jerry",,175,1967,1967
72,8/30/1944,Northwestern,Retired,1,76,"McCambridge, John",,245,1967,1967
,8/27/1920,St. Vincent,Retired,3,71,"Manzini, Bap",,195,1944,1948
27,3/18/1990,Illinois,Active,7,74,"Liuget, Corey",DE,300,,
