,player_ID,sport,position,retire_year,retire_age,years_played
0,Alaa Abdelnaby,NBA,0,1995,27,5
1,Zaid Abdul-Aziz,NBA,0,1978,32,10
2,Kareem Abdul-Jabbar,NBA,1,1989,42,20
3,Mahmoud Abdul-Rauf,NBA,2,2001,32,11
4,Tariq Abdul-Wahad,NBA,3,2003,29,6
5,Shareef Abdur-Rahim,NBA,3,2008,32,12
6,Tom Abernethy,NBA,3,1981,27,5
7,Forest Able,NBA,2,1957,25,1
8,John Abramovic,NBA,3,1948,29,2
9,Alex Abrines,NBA,0,2018,25,2
10,Alex Acker,NBA,2,2009,26,4
11,Don Ackerman,NBA,2,1954,24,1
12,Mark Acres,NBA,0,1993,31,6
13,Bud Acton,NBA,3,1968,26,1
14,Quincy Acy,NBA,3,2018,28,6
15,Alvan Adams,NBA,0,1988,34,13
16,Don Adams,NBA,3,1977,30,7
17,George Adams,NBA,0,1975,26,3
18,Hassan Adams,NBA,2,2009,25,3
19,Jordan Adams,NBA,2,2016,22,2
20,Michael Adams,NBA,2,1996,33,11
21,Steven Adams,NBA,1,2018,25,5
22,Rafael Addison,NBA,0,1997,33,11
23,Bam Adebayo,NBA,0,2018,21,1
24,Rick Adelman,NBA,2,1975,29,7
25,Jeff Adrien,NBA,3,2015,29,5
26,Arron Afflalo,NBA,2,2018,33,11
27,Maurice Ager,NBA,2,2011,27,5
28,Mark Aguirre,NBA,0,1994,35,13
29,Blake Ahearn,NBA,2,2012,28,5
30,Danny Ainge,NBA,2,1995,36,14
31,Matthew Aitch,NBA,3,1968,24,1
32,Alexis Ajinca,NBA,1,2017,29,9
33,Henry Akin,NBA,0,1969,25,3
34,Josh Akognon,NBA,2,2013,27,1
35,Solomon Alabi,NBA,1,2012,24,2
36,Mark Alarie,NBA,3,1991,28,5
37,Gary Alcorn,NBA,1,1961,25,2
38,Furkan Aldemir,NBA,0,2015,24,1
39,Cole Aldrich,NBA,1,2018,30,8
40,LaMarcus Aldridge,NBA,0,2018,33,12
41,Chuck Aleksinas,NBA,1,1985,26,1
42,Cliff Alexander,NBA,3,2016,21,1
43,Cory Alexander,NBA,2,2005,32,10
44,Courtney Alexander,NBA,2,2003,26,3
45,Gary Alexander,NBA,3,1994,25,1
46,Joe Alexander,NBA,3,2010,24,2
47,Victor Alexander,NBA,0,2002,33,11
48,Steve Alford,NBA,2,1991,27,4
51,Jarrett Allen,NBA,0,2018,45,1
52,Jerome Allen,NBA,2,1997,4,2
53,Kadeem Allen,NBA,2,2018,29,1
54,Lavoy Allen,NBA,0,2017,70,6
55,Lucius Allen,NBA,2,1979,1,10
56,Malik Allen,NBA,0,2011,46,10
57,Randy Allen,NBA,3,1990,15,2
58,Ray Allen,NBA,2,2014,32,18
59,Tony Allen,NBA,0,2018,69,14
60,Willie Allen,NBA,3,1972,23,1
62,Lance Allred,NBA,1,2008,50,1
64,Morris Almond,NBA,2,2012,40,5
65,Derrick Alston,NBA,3,1997,21,3
66,Rafer Alston,NBA,2,2010,37,11
67,Peter Aluma,NBA,1,1999,29,1
68,John Amaechi,NBA,0,2003,32,8
69,Ashraf Amaya,NBA,3,1997,7,2
70,Al-Farouq Aminu,NBA,3,2018,36,8
71,Lou Amundson,NBA,3,2016,79,10
73,Chris Andersen,NBA,0,2017,37,16
74,David Andersen,NBA,1,2011,29,2
75,Alan Anderson,NBA,0,2017,72,12
